,ranking,rating,time1,number_of_comments
0,1,9.7,1994,3231859
1,2,9.6,1993,2385441
2,3,9.5,1997,2454845
3,4,9.5,1994,2395170
4,5,9.4,2001,2495307
5,6,9.5,1997,1460122
6,7,9.4,2014,2135242
7,8,9.4,1994,2519333
8,9,9.4,2010,2289934
9,10,9.4,1998,1978582
10,11,9.5,1993,1230519
11,12,9.4,2009,1522905
12,13,9.3,1998,1853440
13,14,9.3,2016,2230865
14,15,9.2,2009,2047895
15,16,9.3,2008,1464586
16,17,9.3,2004,1451805
17,18,9.3,2002,1537964
18,19,9.6,1957,691393
19,20,9.2,1995,1686198
20,21,9.3,2011,1023037
21,22,9.1,2017,1941046
22,23,9.3,2011,1272817
23,24,9.3,1972,1087190
24,25,9.1,2006,1664716
25,26,9.3,1987,1011108
26,27,9.2,2001,1394162
27,28,9.2,1988,1392153
28,29,9.3,1994,954380
29,30,9.1,2010,2021956
30,31,9.2,2008,1176142
31,32,9.3,2003,896038
32,33,9.0,2018,2320877
33,34,9.3,1939,779908
34,35,9.1,2009,1474832
35,36,9.0,2010,1893204
36,37,9.1,2004,1265435
37,38,9.4,1957,567122
38,39,9.3,2013,765225
39,40,9.3,2015,758585
40,41,9.1,2002,1186468
41,42,9.2,1986,994242
42,43,9.3,2000,704401
43,44,9.0,2016,1721957
44,45,9.1,2012,1471932
45,46,9.3,2002,737156
46,47,9.2,2002,843477
47,48,9.2,1989,861129
48,49,9.0,1995,1346045
49,50,9.1,2018,1149521
50,51,9.1,1992,1006705
51,52,8.9,2018,1862140
52,53,9.4,1961,500795
53,54,9.1,1999,934946
54,55,9.1,2001,944924
55,56,9.1,1953,1035247
56,57,9.3,1974,627724
57,58,9.1,1994,945787
58,59,9.2,1988,732556
59,60,9.2,1994,711030
60,61,9.2,2013,650618
61,62,9.0,2008,1090251
62,63,9.0,1999,956481
63,64,9.1,2001,844165
64,65,9.2,2008,633006
65,66,8.9,1995,1302366
66,67,9.0,2011,955205
67,68,9.1,1998,666652
68,69,9.2,2006,624366
69,70,9.1,1965,674318
70,71,8.9,2004,1312074
71,72,8.9,2000,1080636
72,73,9.0,2004,874624
73,74,8.8,2009,1553460
74,75,8.8,2016,1420652
75,76,9.1,1998,715484
76,77,8.9,1991,1000735
77,78,9.2,1997,456862
78,79,9.1,1975,596451
79,80,8.9,2014,1068228
80,81,8.9,2004,1052732
81,82,8.9,2010,1097181
82,83,9.0,1997,804152
83,84,8.9,2006,951991
84,85,8.9,1994,944417
85,86,9.0,2011,710838
86,87,9.3,2023,339173
87,88,8.9,2002,900077
